Borough,Site Location,Zipcode,DSNYZone,DSNYDistrict,Latitude,Longitude,point,BinType
Manhattan,103 W 25 St,10001,MN,MN04,40.7444737,-73.9921732,POINT (-73.9921746458823 40.7444819628032),Electronics
Manhattan,44 W 8 St,10011,MN,MN02,40.732951,-73.998643,POINT (-73.9986444470113 40.7329592606477),Electronics
Queens,59-20 Grand Ave,11378,QW,QW05,40.720542,-73.907551,POINT (-73.9075524170951 40.720550261406),Electronics
Bronx,330-340 Baychester Ave,10475,BX,BX10,40.86768776,-73.82893736,POINT (-73.8289387611431 40.8676960531569),Electronics
Queens,106-15 Sutphin Blvd,11435,QE,QE12,40.6948931,-73.8023815,POINT (-73.8023828817537 40.6949013604039),Electronics
Brooklyn,2892 Ocean Ave,11235,BKS,BKS15,40.5908736,-73.9503307,POINT (-73.9503321228174 40.5908818345933),Electronics
Manhattan,500 8 Ave,10018,MN,MN05,40.7530426,-73.9924445,POINT (-73.992445946516 40.7530508648348),Electronics
Brooklyn,409 Gateway Dr,11239,BKN,BKN05,40.6539242,-73.8732584,POINT (-73.8732598030281 40.6539324498908),Electronics
Queens,3911 61 St,11377,QW,QW02,40.746743,-73.9026954,POINT (-73.9026968172109 40.7467512662408),Electronics
Queens,5001 Northern Blvd,11101,QW,QW01,40.75370894,-73.9117397,POINT (-73.9117411209089 40.753717207998),Electronics
Queens,4747 Van Dam St,11101,QW,QW02,40.7415286,-73.9337864,POINT (-73.9337878266541 40.7415368642516),Electronics
Manhattan,940 Madison Ave,10021,MN,MN08,40.773375,-73.964538,POINT (-73.9645394386506 40.773383269568),Electronics
Brooklyn,1880 Coney Island Ave,11230,BKS,BKS12,40.6118064,-73.9630824,POINT (-73.9630838283837 40.6118146378808),Electronics
Manhattan,675 3 Ave,10017,MN,MN06,40.7509006,-73.973911,POINT (-73.9739124403252 40.7509088647498),Electronics
Queens,12015 31 Ave,11354,QE,QE07,40.77123,-73.84757,POINT (-73.8475714013613 40.7712382736239),Electronics
Manhattan,1981 Broadway,10023,MN,MN07,40.775064,-73.982637,POINT (-73.9826384450588 40.775072269502),Electronics
Manhattan,442 5th Ave,10018,MN,MN05,40.75198,-73.9824833,POINT (-73.982484743555 40.7519882648272),Electronics
Staten Island,2795 Richmond Ave,10314,SI,SI02,40.57695637,-74.16738911,POINT (-74.1673906013506 40.5769645937232),Electronics
Bronx,2 Farragut St,10474,BX,BX02,40.801686,-73.87343,POINT (-73.8734314117686 40.8016942788159),Electronics
Manhattan,769 Broadway,10003,MN,MN02,40.73105907,-73.99228685,POINT (-73.9922882951738 40.7310673305055),Electronics
Manhattan,103 Prince St,10012,MN,MN02,40.725117,-73.998979,POINT (-73.9989804467931 40.7251252590536),Electronics
Brooklyn,540 Kingsland Ave,11222,BKN,BKN01,40.7355308,-73.9443812,POINT (-73.9443826296861 40.7355390632757),Electronics
Manhattan,677 5th Ave,10022,MN,MN05,40.7605365,-73.9753417,POINT (-73.9753431410685 40.7605447672142),Electronics
Bronx,200 Baychester Avenue,10475,BX,BX10,40.8638,-73.8278,POINT (-73.8278014011072 40.8638082921733),Electronics
Bronx,4250 Boston Rd,10475,BX,BX12,40.8882201,-73.8225387,POINT (-73.8225401003817 40.8882283969088),Electronics
Staten Island,1885 Hylan Blvd,10306,SI,SI02,40.5838147,-74.0962032,POINT (-74.0962046699852 40.5838229277263),Electronics
Staten Island,1641 Richmond Terrace,10310,SI,SI01,40.6403145,-74.1212432,POINT (-74.1212446813267 40.6403227379904),Electronics
Manhattan,1755 Broadway,10019,MN,MN05,40.766011,-73.98214997,POINT (-73.9821514135381 40.7660192673255),Electronics
Brooklyn,459 N Henry St,11222,BKN,BKN01,40.73476,-73.94543,POINT (-73.9454314307652 40.7347682626162),Electronics
Bronx,850 Edgewater Rd,10474,BX,BX02,40.8184516,-73.8832997,POINT (-73.8833011161815 40.8184598818327),Electronics
Bronx,4109 Park Ave,10457,BX,BX06,40.845553,-73.901079,POINT (-73.9010804228019 40.8455612860795),Electronics
Manhattan,641 6 Ave,10011,MN,MN04,40.7407266,-73.9948313,POINT (-73.9948327467923 40.740734862218),Electronics
Bronx,1294 Southern Blvd,10459,BX,BX03,40.8306088,-73.891455,POINT (-73.8914564187488 40.8306170831487),Electronics
Brooklyn,1760 Utica Ave,11234,BKS,BKS18,40.62921082,-73.92835207,POINT (-73.928353488374 40.6292190625463),Electronics
Manhattan,1880 Broadway,10023,MN,MN07,40.7700779,-73.981592,POINT (-73.981593444063 40.7700861680257),Electronics
Manhattan,5-9 Union Square W,10003,MN,MN05,40.7354498,-73.9915753,POINT (-73.9915767451867 40.7354580617546),Electronics
Brooklyn,1 12th St,11215,BKS,BKS06,40.6722888,-73.9971998,POINT (-73.9972012432394 40.6722970490058),Electronics
Manhattan,4320 Broadway,10033,MN,MN12,40.852234,-73.934259,POINT (-73.9342604341474 40.8522422863887),Electronics
Queens,93-18 Roosevelt Ave,11372,QW,QW04,40.74868912,-73.87263634,POINT (-73.8726377478453 40.7486973882571),Electronics
Staten Island,2535 Richmond Ave,10314,SI,SI02,40.58605531,-74.16669338,POINT (-74.1666948721753 40.5860635359659),Electronics
Brooklyn,348 4th Ave,11215,BKS,BKS06,40.67418233,-73.98677487,POINT (-73.9867763105179 40.6741905796966),Electronics
Bronx,2040 White Plains Rd,10462,BX,BX11,40.85207672,-73.86737946,POINT (-73.8673808728997 40.852085008891),Electronics
Brooklyn,138 Hinsdale St,11207,BKN,BKN05,40.67227998,-73.90107948,POINT (-73.9010808921343 40.6722882320084),Electronics
Manhattan,401 W 14 St,10014,MN,MN04,40.741335,-74.00555,POINT (-74.0055514495212 40.7413432619452),Electronics
Manhattan,185 Greenwich St,10007,MN,MN01,40.711639,-74.012343,POINT (-74.0123444501387 40.7116472558049),Electronics
Queens,71-43 Kissena Blvd (Between 71st and 72nd Aves),11367,QE,QE08,40.728866,-73.8150369,POINT (-73.8150382878998 40.7288742665016),Electronics
Bronx,610 Exterior St,10451,BX,BX04,40.82153924,-73.92977867,POINT (-73.9297801004124 40.8215475203226),Electronics
Brooklyn,5102 Ave U Ste 0171,11234,BKS,BKS18,40.60989578,-73.92159858,POINT (-73.9215999954237 40.6099040189363),Electronics
Bronx,"171 W 230th St, Ste. 103",10463,BX,BX08,40.87728015,-73.90491584,POINT (-73.9049172657609 40.8772884421362),Electronics
Manhattan,220 E 23 St,10010,MN,MN06,40.738365,-73.9824462,POINT (-73.9824476421675 40.7383732621381),Electronics
Brooklyn,6822 3 Ave,11220,BKS,BKS10,40.6362001,-74.0260663,POINT (-74.0260677507587 40.6362083411),Electronics
Brooklyn,9525 Ditmas Ave,11236,BKN,BKN17,40.65102651,-73.91076274,POINT (-73.9107641547496 40.6510347573772),Electronics
Bronx,5680 Broadway,10463,BX,BX08,40.88108777,-73.90227651,POINT (-73.902277935308 40.8810960633023),Electronics
Manhattan,45 Grand Central Terminal,10017,MN,MN05,40.752642,-73.977279,POINT (-73.9772804418636 40.7526502652216),Electronics
Manhattan,74 Pike Slip,10002,MN,MN03,40.71066,-73.99288,POINT (-73.9928814440143 40.7106682563695),Electronics
Manhattan,208 8 Ave,10011,MN,MN04,40.743678,-73.999235,POINT (-73.9992364482056 40.7436862624973),Electronics
Queens,209-34 Northern Blvd,11361,QE,QE11,40.75909625,-73.77302777,POINT (-73.7730291463433 40.759104523294),Electronics
Queens,8801 Queens Blvd,11373,QW,QW04,40.7357438,-73.87448827,POINT (-73.8744896777094 40.7357520656402),Electronics
Manhattan,1114 1 Ave,10065,MN,MN08,40.760863,-73.960668,POINT (-73.9606694369557 40.760871267745),Electronics
Brooklyn,134 N 6th St,11249,BKN,BKN01,40.7176689,-73.9593343,POINT (-73.9593357338547 40.7176771593909),Electronics
Brooklyn,492 Scholes St,11237,BKN,BKN01,40.71123455,-73.92767114,POINT (-73.9276725635541 40.7112428087227),Electronics
Staten Island,493 Mosel Ave,10304,SI,SI02,40.60521855,-74.0838506,POINT (-74.0838520674232 40.6052267821255),Electronics
Bronx,432 Austin Place #408,10455,BX,BX01,40.8090356,-73.9053482,POINT (-73.9053496222231 40.8090438784118),Electronics
Bronx,4109 Park Ave,10457,BX,BX06,40.84559331,-73.90103116,POINT (-73.9010325831146 40.8456015961425),Electronics
Brooklyn,109 2nd Ave,11215,BKS,BKS06,40.67144018,-73.9942085,POINT (-73.9942099425397 40.6714484285768),Electronics
Manhattan,622 Broadway,10012,MN,MN02,40.7258471,-73.99621957,POINT (-73.9962210156242 40.7258553597139),Electronics
Manhattan,157 W 72 St,10023,MN,MN07,40.778473,-73.980571,POINT (-73.9805724443064 40.7784812705338),Electronics
Manhattan,5 Union Square West,10003,MN,MN05,40.73578828,-73.99179116,POINT (-73.9917926051783 40.7357965413643),Electronics
Brooklyn,99 19th St,11232,BKS,BKS07,40.6655837,-73.9970059,POINT (-73.9970073426671 40.6655919472667),Electronics
Brooklyn,340 Maspeth Ave,11211,BKN,BKN01,40.7180546,-73.9304626,POINT (-73.9304640243993 40.7180628598466),Electronics
Queens,5110 Broadway,11377,QW,QW01,40.7538623,-73.9089981,POINT (-73.9089995193659 40.7538705679255),Electronics
Manhattan,1704 2 Ave,10128,MN,MN08,40.7793,-73.950294,POINT (-73.9502954345327 40.7793082715182),Electronics
Manhattan,536 W 46 St,10036,MN,MN04,40.762665,-73.995377,POINT (-73.9953784478945 40.7626732663619),Electronics
Bronx,2359 Jerome Ave,10468,BX,BX07,40.860358,-73.9030775,POINT (-73.9030789241714 40.8603662892719),Electronics
Brooklyn,258 Livingston St,11201,BKN,BKN02,40.6887457,-73.9842131,POINT (-73.984214539516 40.6887539523984),Electronics
Manhattan,1280 Lexington Ave,10028,MN,MN08,40.7798872,-73.9557037,POINT (-73.9557051369693 40.7798954711018),Electronics
Manhattan,7 W 14 St,10011,MN,MN05,40.736697,-73.994165,POINT (-73.9941664462687 40.7367052615748),Electronics
Brooklyn,9319 5 Ave,11209,BKS,BKS10,40.6166088,-74.0300263,POINT (-74.0300277503456 40.6166170363622),Electronics
Brooklyn,8923 Bay Pkwy,11214,BKS,BKS11,40.59360561,-73.99907225,POINT (-73.9990736886861 40.5936138431341),Electronics
Queens,251-21 Jericho Turnpike,11426,QE,QE13,40.72765982,-73.71333697,POINT (-73.7133383261119 40.7276680897511),Electronics
Manhattan,76 9th ave,10011,MN,MN04,40.74178826,-74.00450479,POINT (-74.0045062394906 40.741796522088),Electronics
Brooklyn,369 Gateway Dr,11239,BKN,BKN05,40.65154222,-73.87262128,POINT (-73.8726226818025 40.651550469335),Electronics
Brooklyn,625 Atlantic Ave,11217,BKN,BKN02,40.6840997,-73.97548098,POINT (-73.9754824174639 40.6841079522192),Electronics
Brooklyn,247 Bedford Ave,11211,BKN,BKN01,40.71561,-73.959746,POINT (-73.9597474340547 40.7156182582226),Electronics
Manhattan,52 E 14th St,10003,MN,MN02,40.73451587,-73.99052633,POINT (-73.9905277742954 40.734524130905),Electronics
Bronx,402 E Fordham Rd,10458,BX,BX06,40.86087263,-73.89167099,POINT (-73.8916724104954 40.8608809192966),Electronics
Manhattan,2231 3 Ave,10035,MN,MN11,40.801328,-73.937068,POINT (-73.9370694313291 40.8013362763034),Electronics
Queens,90-15 Queens Blvd,11373,QW,QW04,40.734566,-73.870652,POINT (-73.870653406608 40.7345742656921),Electronics
Queens,58-12 Queens Blvd,11377,QW,QW02,40.74128698,-73.9070244,POINT (-73.9070258183303 40.7412952455574),Electronics
Queens,90-30 Metropolitan Ave,11374,QW,QW06,40.71103454,-73.85841309,POINT (-73.8584144913626 40.7110428013713),Electronics
Staten Island,2053 Clove Rd,10304,SI,SI02,40.605057,-74.083695,POINT (-74.0836964666613 40.6050652328639),Electronics
Manhattan,531 5th Ave,10017,MN,MN05,40.75483614,-73.97963772,POINT (-73.9796391626805 40.7548444056272),Electronics
Brooklyn,374 Greenpoint Ave,11222,BKN,BKN01,40.7318987,-73.9443865,POINT (-73.9443879303934 40.7319069624874),Electronics
Queens,24-41 31 St,11102,QW,QW01,40.77122118,-73.91629611,POINT (-73.9162975332505 40.7712294511132),Electronics
Staten Island,1000 West Service Rd,10312,SI,SI03,40.56899487,-74.19338812,POINT (-74.1933896196464 40.5690030912403),Electronics
Manhattan,1280 Lexington Ave,10028,MN,MN08,40.7798872,-73.9557037,POINT (-73.9557051369693 40.7798954711018),Electronics
Manhattan,800 Third Ave,10022,MN,MN06,40.75570567,-73.97138626,POINT (-73.9713876997849 40.7557139359027),Electronics
Brooklyn,850 3rd Ave (31st & 3rd Ave),11232,BKS,BKS07,40.6588044,-74.003448,POINT (-74.0034494439017 40.6588126457954),Electronics
Staten Island,2655 Richmond Ave,10314,SI,SI02,40.58187,-74.165866,POINT (-74.1658674913793 40.5818782248001),Electronics
Brooklyn,436 Atlantic Ave,11217,BKN,BKN02,40.6863101,-73.9838984,POINT (-73.9838998403413 40.6863183515463),Electronics
Queens,13107 40th Rd,11354,QE,QE07,40.75636718,-73.83696215,POINT (-73.836963547385 40.75637545104),Electronics
Manhattan,105 W 125th St,10027,MN,MN10,40.80827765,-73.94594495,POINT (-73.9459463851604 40.8082859271134),Electronics
Manhattan,60 W 23 St,10010,MN,MN05,40.7423606,-73.9923849,POINT (-73.9923863462042 40.7423688625894),Electronics
Manhattan,767 5 Ave,10153,MN,MN05,40.763609,-73.972435,POINT (-73.9724364410914 40.7636172677704),Electronics
Manhattan,2248 Broadway,10024,MN,MN07,40.7848159,-73.9788032,POINT (-73.9788046447269 40.7848241712118),Electronics
Brooklyn,535 Morgan Ave,11222,BKN,BKN01,40.72230119,-73.93917165,POINT (-73.9391730777684 40.722309450458),Electronics
Brooklyn,123 Flatbush Ave,11217,BKN,BKN02,40.686202,-73.978499,POINT (-73.9785004386679 40.6862102525733),Electronics
